url_article,Date,Auteur,Titre,Annee
https://pubmed.ncbi.nlm.nih.gov/19164082/#affiliation-1,['2009 Jul;'],"['Po-Whei Huang', 'Cheng-Hsiung Lee']",Automatic classification for pathological prostate images based on fractal analysis,2009
https://pubmed.ncbi.nlm.nih.gov/24614353/#affiliation-1,['2014 Mar 10;'],"['Yi-Lung Ding', 'Yu-Hsuan Shih', 'Fu-Yuan Tsai', 'Max K Leong']",In silico prediction of inhibition of promiscuous breast cancer resistance protein (BCRP/ABCG2),2014
https://pubmed.ncbi.nlm.nih.gov/18044554/#affiliation-1,['2007;'],"['Masahiko Nakamoto', 'Naoki Aburaya', 'Kozo Konishi', 'Makoto Hashizume']",Thoracoscopic surgical navigation system for cancer localization in collapsed lung based on estimation of lung deformation,2007
https://pubmed.ncbi.nlm.nih.gov/21601186/#affiliation-1,['2011 Dec;'],"['Mahdi Jalili', 'Maria G Knyazeva']",EEG-based functional networks in schizophrenia,2011
https://pubmed.ncbi.nlm.nih.gov/21776783/#affiliation-1,['2011 May;'],"['E Ukwatta', 'J Awad', 'D Buchanan', 'G Parraga']",Three-dimensional ultrasound of carotid atherosclerosis: semiautomated segmentation using a level set-based method,2011
https://pubmed.ncbi.nlm.nih.gov/23231305/#affiliation-1,['2012 Dec;'],"['Giampaolo Tomasi', 'Tony Shepherd', 'Dimitris Visvikis']",Comparative assessment of segmentation algorithms for tumor delineation on a test-retest [(11)C]choline dataset,2012
https://pubmed.ncbi.nlm.nih.gov/25333159/#affiliation-1,['2014;'],"['Thomas Langerak', 'Sandra Quint', 'Ben Heijmen']",Towards automatic plan selection for radiotherapy of cervical cancer by fast automatic segmentation of cone beam CT scans,2014
https://pubmed.ncbi.nlm.nih.gov/23372070/#affiliation-1,['2013 Jul;'],"['Qiangfeng Peter Lau', 'Mong Li Lee', 'Tien Yin Wong']",Simultaneously identifying all true vessels from segmented retinal images,2013
https://pubmed.ncbi.nlm.nih.gov/30171500/#affiliation-1,['2018 Dec;'],"['Usha Rani Gogoi', 'Mrinal Kanti Bhowmik', 'Debotosh Bhattacharjee', 'Anjan Kumar Ghosh']",Singular value based characterization and analysis of thermal patches for early breast abnormality detection,2018
https://pubmed.ncbi.nlm.nih.gov/31524257/#affiliation-1,['2019 Sep;'],"['Linchao Ding', 'Lei Fan', 'Xiaodong Xu', 'Jianfei Fu', 'Yadong Xue']",Identification of core genes and pathways in type 2 diabetes mellitus by bioinformatics analysis,2019
https://pubmed.ncbi.nlm.nih.gov/18003384/#affiliation-1,['2007;'],"['M Mischi', 'H C M v d Bosch', 'R M Aarts']",Assessment of ventricular mechanical dyssynchrony by short-axis MRI,2007
https://pubmed.ncbi.nlm.nih.gov/18002276/#affiliation-1,['2007;'],"['Y Kabir', 'M Dojat', 'F Forbes']",Multimodal MRI segmentation of ischemic stroke lesions,2007
https://pubmed.ncbi.nlm.nih.gov/26221698/#affiliation-1,['2015;'],"['Ken C L Wong', 'Electron Kebebew']",Pancreatic Tumor Growth Prediction with Multiplicative Growth and Image-Derived Motion,2015
https://pubmed.ncbi.nlm.nih.gov/15575410/#affiliation-1,['2004 Dec;'],"['T S Koh', 'X Y Wu', 'C C T Lim']",Assessment of perfusion by dynamic contrast-enhanced imaging using a deconvolution approach based on regression and singular value decomposition,2004
https://pubmed.ncbi.nlm.nih.gov/17649908/#affiliation-1,['2007 Jul;'],"['Sheila Timp', 'Celia Varela']",Temporal change analysis for characterization of mass lesions in mammography,2007
https://pubmed.ncbi.nlm.nih.gov/25227023/#affiliation-1,['2014;'],"['Jin Rim Yong', 'Shouliang Qi', 'Han J W van Triest', 'Yan Kang', 'Wei Qian']",Automatic segmentation of juxta-pleural tumors from CT images based on morphological feature analysis,2014
https://pubmed.ncbi.nlm.nih.gov/16908040/#affiliation-1,['2006 Dec 22;'],"['Mingyue Ding', 'Zhouping Wei', 'Donal B Downey']",Needle and seed segmentation in intra-operative 3D ultrasound-guided prostate brachytherapy,2006
